heNo.,Service,Function,Category
219,Azure DevTest Labs,Create labs for dev/test environments.,Developer Tools
220,Azure Code Signing,Digitally sign code and packages.,Developer Tools
221,Azure Quantum,Explore quantum computing platforms.,Quantum & HPC
222,Azure HPC,Run high-performance computing workloads.,Quantum & HPC
223,Azure CycleCloud,Orchestrate HPC clusters.,Quantum & HPC
224,Azure Batch,Schedule and run parallel jobs.,Quantum & HPC
225,Azure GPU VMs,Accelerate compute with GPU-enabled VMs.,Quantum & HPC
226,Azure InfiniBand Networking,Enable low-latency HPC communication.,Quantum & HPC
227,Azure Quantum Workspace,Manage quantum jobs and resources.,Quantum & HPC
228,Azure Quantum Simulator,Test quantum algorithms on simulators.,Quantum & HPC
229,Azure Quantum Optimization,Solve complex optimization problems.,Quantum & HPC
230,Azure Quantum ML Integration,Combine quantum with machine learning.,Quantum & HPC
231,Azure Quantum Development Kit,Build quantum apps with Q# language.,Quantum & HPC
232,Azure Quantum Resource Estimator,Predict quantum resource needs.,Quantum & HPC
233,Azure Quantum Chemistry,Simulate molecular structures.,Quantum & HPC
234,Azure Quantum Inspired Optimization,Use classical solvers for quantum-like problems.,Quantum & HPC
235,Azure HPC Cache,Accelerate access to large datasets.,Quantum & HPC
236,Azure Parallel File System,Enable fast file access for HPC.,Quantum & HPC
237,Azure Quantum Job Monitor,Track quantum job status.,Quantum & HPC
238,Azure Quantum Partner Access,"Use hardware from IonQ, Quantinuum, etc.",Quantum & HPC
239,Azure Quantum Learning Hub,Learn quantum computing fundamentals.,Quantum & HPC
240,Azure Quantum Security,Protect quantum workloads and data.,Quantum & HPC
241,Communication Services,"Add voice, video, chat, and SMS.",Industry Solutions
242,Health Data Services,Manage and analyze healthcare data.,Industry Solutions
243,Energy Data Services,Handle energy industry data.,Industry Solutions
244,IoT Central,Build and manage IoT solutions.,Industry Solutions
245,Digital Twins,Simulate real-world environments.,Industry Solutions
246,Azure for Retail,Deliver personalized retail experiences.,Industry Solutions
247,Azure for Manufacturing,Optimize factory operations and supply chains.,Industry Solutions
248,Azure for Financial Services,Secure and scale financial workloads.,Industry Solutions
249,Azure for Government,Meet public sector compliance and security.,Industry Solutions
250,Azure for Education,Enable digital learning environments.,Industry Solutions
251,Azure for Media & Entertainment,Stream and manage digital content.,Industry Solutions
252,Azure for Automotive,Power connected vehicle platforms.,Industry Solutions
253,Azure Maps,Add geospatial capabilities to apps.,Industry Solutions
254,Azure IoT Hub,Connect and manage IoT devices.,Industry Solutions
255,Azure Sphere,Secure IoT devices with built-in OS.,Industry Solutions
256,Azure Industrial IoT,Monitor and control industrial assets.,Industry Solutions
257,Azure Connected Factory,Digitize manufacturing operations.,Industry Solutions
258,Azure Smart City Solutions,Enable urban innovation and efficiency.,Industry Solutions
259,Azure Sustainability Manager,Track and report environmental impact.,Industry Solutions
260,Azure FarmBeats,Use AI and IoT for precision agriculture.,Industry Solutions
